ID,Name,Lat,Lon,Population,Area,Distance travelled,Road length
42319,Jackson (WY),43.472006,-110.757114,11407,10.5567915377,,
69238,Picture Rocks (AZ),32.331198,-111.215041,4345,10.8106103725,,
08299,Bloomer (WI),45.10406,-91.494219,3348,5.09191662492,,
49150,Le Roy (NY),42.976148,-77.990293,4275,4.9365173383,,
61273,Nashville-Davidson (TN),36.128138,-86.681006,969587,1459.37542055,55808831.232,5712.0
46675,Lake Crystal (MN),44.108547,-94.218011,2558,3.35921457911,,
11647,Burlington (CO),39.303816,-102.265989,4243,3.83836237952,,
17776,Clewiston (FL),26.74849,-80.931175,12833,12.0512146774,,
57331,Millinocket (ME),45.657114,-68.703846,3976,4.97018718373,,
46855,Lake Los Angeles (CA),34.611803,-117.834173,11808,16.7883029312,,
83993,Springfield (TN),36.485193,-86.877111,17357,31.7014544705,,
95698,Willmar (MN),45.129721,-95.044552,20244,29.4559347789,,
87355,Thief River Falls (MN),48.105767,-96.17972,8883,15.9543267597,,
53362,Magnolia (AR),33.274019,-93.233651,10438,19.4430407443,,
70588,Polson (MT),47.691397,-114.157979,4763,7.3426162928,,
07273,Berrien Springs (MI),41.950895,-86.340788,7358,12.8489310154,,
37567,Hastings (NE),40.592563,-98.396581,24312,22.4810967977,,
75089,Rio Rico Northeast (AZ),31.481588,-110.977124,2628,4.57909897907,,
39808,Honea Path (SC),34.447275,-82.39641,3505,7.78550425967,,
10378,Bristow (OK),35.828547,-96.392234,4110,4.77334808735,,
21718,Cumberland (KY),36.973704,-82.982809,3711,6.06575215441,,
22825,Deer Lodge (MT),46.397951,-112.732286,3217,3.80728252219,,
75080,Rio Hondo (TX),26.232386,-97.580355,4423,9.46122656706,,
20665,Covington (IN),40.140933,-87.390552,2625,2.87488680247,,
60473,Mount Vernon (TX),33.169348,-95.22841,2585,7.36333619769,,
84007,Springfield (VT),43.307145,-72.498547,4872,7.99529329661,,
36568,Hampshire (IL),42.094034,-88.521756,4619,5.71869374762,,
14671,Cazenovia (NY),42.936974,-75.855216,3114,4.08700123811,,
63784,North Manchester (IN),41.006727,-85.772595,6031,6.86087850428,,
16912,Circleville (OH),39.605271,-82.937125,14965,19.0079227418,,
21394,Crossville (TN),35.933188,-85.042565,16337,54.8533581888,,
53740,Manchester (NH),42.991043,-71.479666,158377,223.122295729,5829043.968,840.0
09838,Breckenridge (TX),32.756684,-98.909361,5839,9.69173550888,,
03817,Atlanta (GA),33.824102,-84.331858,4515419,6851.43022765,208636965.504,21036.0
05167,Barnstable Town (MA),41.622829,-70.576489,246695,718.092333507,14121993.6,2755.0
17290,Clarksville (AR),35.47186,-93.474714,7313,17.4383899469,,
70102,Platte City (MO),39.344276,-94.771415,8958,15.2291300888,,
85060,Stilwell (OK),35.812659,-94.633442,3789,6.04503224952,,
42778,Jayuya (PR),18.203088,-66.598512,11300,25.8662112579,,
36811,Hardin (MT),45.7332,-107.613395,3614,3.39288442454,,
80011,Scott City (KS),38.479847,-100.909072,3647,3.91606202283,,
36585,Hampstead (NC),34.385913,-77.650522,10716,39.8236571845,,
90122,Van (TX),32.528529,-95.638702,2502,6.25223129835,,
58222,Monmouth (IL),40.912498,-90.644298,9654,10.0439738919,,
61813,Newberg (OR),45.299898,-122.973965,27001,25.6020324707,,
44128,Kayenta (AZ),36.722927,-110.251423,4688,6.66403940789,,
58951,Montrose (CO),38.482075,-107.873187,22706,46.9694343809,,
44695,Ketchum (ID),43.683602,-114.372859,3919,9.0468284694,,
45748,Kotzebue (AK),66.894454,-162.587054,3200,2.4294088475,,
08245,Blanding (UT),37.625871,-109.481413,3264,4.32528014426,,
18883,Columbia (KY),37.101613,-85.302172,4579,8.74379986049,,
29359,Fayette (AL),33.694825,-87.830734,3408,7.29858649493,,
70696,Pontotoc (MS),34.247472,-89.010213,4807,14.9183315155,,
00415,Ada (OK),34.774803,-96.669103,17400,30.914098085,,
10513,Broken Bow (NE),41.40544,-99.640174,3537,4.93133736208,,
14077,Carrollton (MO),39.363063,-93.493303,3296,5.62027419943,,
05302,Barstow (CA),34.888022,-117.038437,28973,31.9785831983,,
48286,Lawrenceburg (TN),35.24604,-87.331029,10100,23.6906212452,,
83440,Sparta (GA),33.275141,-82.973767,3622,9.97145422479,,
71182,Port Isabel--Laguna Heights (TX),26.078676,-97.213151,14950,17.88645789,,
39712,Homesteads Addition (TX),32.472805,-97.164098,6372,20.4065163213,,
94618,Wetumpka (AL),32.53725,-86.206364,6659,13.8538464022,,
41374,Interlachen (FL),29.648505,-81.873122,5805,27.9511516867,,
90055,Valley City (ND),46.924213,-97.993207,6689,12.3050335122,,
13240,Cannon Falls (MN),44.509501,-92.902051,3931,7.03440770767,,
44236,Kekaha (HI),21.962107,-159.674802,5313,4.68787847971,,
11917,Bushnell (IL),40.552775,-90.507321,3045,3.8098725103,,
70210,Pleasant Hill (MO),38.797479,-94.258816,8049,11.8025758188,,
71344,Portland (TN--KY),36.58258,-86.515642,10869,24.6981266202,,
71614,Post (TX),33.194194,-101.382837,5018,4.77593807546,,
